CODIGO_DANE_MUNICIPIO;DESC_MUNICIPIO;DESC_DEPARTAMENTO;ZONA
15362;IZA;BOYACÁ;URBANO
19364;JAMBALÓ;CAUCA;RURAL
76364;JAMUNDÍ;VALLE DEL CAUCA;URBANO
5364;JARDÍN;ANTIOQUIA;URBANO
15367;JENESANO;BOYACÁ;URBANO
5368;JERICÓ;ANTIOQUIA;URBANO
15368;JERICÓ;BOYACÁ;RURAL DISPERSO
25368;JERUSALÉN;CUNDINAMARCA;RURAL DISPERSO
68368;JESÚS MARÍA;SANTANDER;RURAL DISPERSO
8372;JUAN DE ACOSTA;ATLÁNTICO;URBANO
25372;JUNÍN;CUNDINAMARCA;RURAL DISPERSO
27372;JURADÓ;CHOCÓ;RURAL DISPERSO
23350;LA APARTADA;CÓRDOBA;URBANO
41378;LA ARGENTINA;HUILA;RURAL
68377;LA BELLEZA;SANTANDER;RURAL DISPERSO
25377;LA CALERA;CUNDINAMARCA;URBANO
15380;LA CAPILLA;BOYACÁ;RURAL
5376;LA CEJA;ANTIOQUIA;URBANO
66383;LA CELIA;RISARALDA;URBANO
91405;LA CHORRERA;AMAZONAS;RURAL DISPERSO
52378;LA CRUZ;NARIÑO;URBANO
76377;LA CUMBRE;VALLE DEL CAUCA;RURAL
17380;LA DORADA;CALDAS;URBANO
54385;LA ESPERANZA;NORTE DE SANTANDER;RURAL DISPERSO
5380;LA ESTRELLA;ANTIOQUIA;URBANO
52381;LA FLORIDA;NARIÑO;RURAL
20383;LA GLORIA;CESAR;RURAL
94885;LA GUADALUPE;GUAINÍA;RURAL DISPERSO
20400;LA JAGUA DE IBIRICO;CESAR;RURAL
44420;LA JAGUA DEL PILAR;LA GUAJIRA;RURAL
52385;LA LLANADA;NARIÑO;RURAL
50350;LA MACARENA;META;RURAL DISPERSO
17388;LA MERCED;CALDAS;URBANO
25386;LA MESA;CUNDINAMARCA;URBANO
18410;LA MONTAÑITA;CAQUETÁ;RURAL DISPERSO
25394;LA PALMA;CUNDINAMARCA;URBANO
20621;LA PAZ;CESAR;RURAL
68397;LA PAZ;SANTANDER;RURAL DISPERSO
91407;LA PEDRERA;AMAZONAS;RURAL DISPERSO
25398;LA PEÑA;CUNDINAMARCA;RURAL
5390;LA PINTADA;ANTIOQUIA;URBANO
41396;LA PLATA;HUILA;URBANO
54398;LA PLAYA;NORTE DE SANTANDER;RURAL DISPERSO
99524;LA PRIMAVERA;VICHADA;RURAL DISPERSO
85136;LA SALINA;CASANARE;RURAL DISPERSO
19392;LA SIERRA;CAUCA;RURAL
63401;LA TEBAIDA;QUINDIO;URBANO
52390;LA TOLA;NARIÑO;RURAL
5400;LA UNIÓN;ANTIOQUIA;URBANO
52399;LA UNIÓN;NARIÑO;URBANO
70400;LA UNIÓN;SUCRE;RURAL
76400;LA UNIÓN;VALLE DEL CAUCA;URBANO
15403;LA UVITA;BOYACÁ;RURAL
19397;LA VEGA;CAUCA;RURAL
25402;LA VEGA;CUNDINAMARCA;URBANO
76403;LA VICTORIA;VALLE DEL CAUCA;RURAL
91430;LA VICTORIA;AMAZONAS;RURAL DISPERSO
66400;LA VIRGINIA;RISARALDA;URBANO
54377;LABATECA;NORTE DE SANTANDER;RURAL DISPERSO
15377;LABRANZAGRANDE;BOYACÁ;RURAL DISPERSO
68385;LANDÁZURI;SANTANDER;RURAL DISPERSO
68406;LEBRIJA;SANTANDER;URBANO
52405;LEIVA;NARIÑO;RURAL
50400;LEJANÍAS;META;RURAL
25407;LENGUAZAQUE;CUNDINAMARCA;RURAL
73408;LÉRIDA;TOLIMA;URBANO
91001;LETICIA;AMAZONAS;RURAL
73411;LÍBANO;TOLIMA;URBANO
5411;LIBORINA;ANTIOQUIA;RURAL DISPERSO
52411;LINARES;NARIÑO;RURAL
27413;LLORÓ;CHOCÓ;RURAL
19418;LÓPEZ DE MICAY;CAUCA;RURAL DISPERSO
23417;LORICA;CÓRDOBA;URBANO
52418;LOS ANDES;NARIÑO;RURAL
23419;LOS CÓRDOBAS;CÓRDOBA;RURAL
70418;LOS PALMITOS;SUCRE;URBANO
54405;LOS PATIOS;NORTE DE SANTANDER;URBANO
68418;LOS SANTOS;SANTANDER;RURAL DISPERSO
8421;LURUACO;ATLÁNTICO;URBANO
15425;MACANAL;BOYACÁ;RURAL DISPERSO
68425;MACARAVITA;SANTANDER;RURAL DISPERSO
5425;MACEO;ANTIOQUIA;RURAL
25426;MACHETÁ;CUNDINAMARCA;RURAL DISPERSO
25430;MADRID;CUNDINAMARCA;URBANO
